Site Number ,Site Type,Site Status,Primary Descriptor
714160301,Primary,Active,"Appleby Rd, Stafford Heights"
714160401,Primary,Active,"Webster Rd, Stafford Heights/Kedron"
714160601,School,Active,"Rode Rd, McDowall"
714160602,Primary,Active,"Rode Rd, McDowall"
714160603,Primary,Active,"Beckett Rd, McDowall"
714160701,Primary,Active,"Rode Rd, McDowall"
714160901,School,Active,"Hamilton Rd, Chermside West"
714160902,Primary,Active,"Hamilton Rd, Chermside West"
714161001,Primary,Active,"Hamilton Rd, Chermside"
714161002,Primary,Active,"Gympie Rd, Chermside"
714161003,Primary,Active,"Gympie Rd, Chermside"
714161101,Primary,Active,"Hamilton Rd, McDowall"
714161201,Primary,Active,"Hamilton Rd, McDowall"
714161401,Primary,Active,"Maundrell Tce, Chermside West"
714161501,Primary,Active,"Gympie Rd, Chermside"
714161502,Primary,Active,"Gympie Rd, Aspley"
714161503,Primary,Active,"Gympie Rd, Chermside"
714161701,Primary,Active,"Beckett Rd, Bridgeman Downs"
714161901,Primary,Active,"Maundrell Tce, Aspley"
714161902,Primary,Active,"Gympie Rd, Aspley"
714162001,Primary,Active,"Robinson Rd W, Aspley"
714162002,Primary,Active,"Robinson Rd W, Aspley"
714162201,Primary,Active,"Albany Creek Rd, Bridgeman Downs"
714162202,Primary,Active,"Beckett Rd, Bridgeman Downs"
714162302,Primary,Active,"Albany Creek Rd, Aspley"
714162501,Primary,Active,"Kirby Rd, Aspley"
714162502,School,Active,"Zillmere Rd, Aspley"
714162503,Primary,Active,"Hutton Rd, Aspley"
714162504,Primary,Active,"Zillmere Rd, Aspley"
714170101,Primary,Active,"Pfingst Rd, Wavell Heights"
714170201,Primary,Active,"Hamilton Rd, Wavell Heights"
714170202,Primary,Active,"Spence Rd, Wavell Heights"
714170301,Stake Holder,Active,"Flower St, Northgate"
714170302,Primary,Active,"Sandgate Rd, Virginia"
714170303,Primary,Active,"Sandgate Rd, Nundah"
714170304,Primary,Active,"Sandgate Rd, Nundah"
714170401,Primary,Active,"Toombul Rd, Northgate"
714170402,Primary,Active,"Toombul Rd, Northgate"
714170501,Primary,Active,"Toombul Rd, Northgate"
714170502,Primary,Active,"Nudgee Rd, Northgate"
714170701,Primary,Active,"Hamilton Rd, Wavell Heights"
714170702,Primary,Active,"Newman Rd, Wavell Heights"
714170801,Primary,Active,"Sandgate Rd, Virginia"
714170901,Primary,Active,"Toombul Rd, Virginia/Northgate"
714171101,Primary,Active,"Murphy Rd, Aspley/Chermside"
714171102,Primary,Active,"Ellison Rd, Geebung"
714171103,Primary,Active,"Ellison Rd, Aspley"
714171201,Primary,Active,"Ellison Rd, Geebung"
714171202,Primary,Active,"Newman Rd, Geebung"
714171301,Primary,Active,"Ellison Rd, Geebung"
714171302,Primary,Active,"Bilsen Rd, Geebung"
714171303,Primary,Active,"Pritchard Rd, Virginia"
714171501,Primary,Active,"St Vincents Rd, Banyo"
714171502,Primary,Active,"St Vincents Rd, Banyo"
714171601,Primary,Active,"Murphy Rd, Zillmere"
714171701,Primary,Active,"Robinson Rd W, Geebung"
714171801,Primary,Active,"Zillmere Rd, Boondall"
714171802,Primary,Active,"Robinson Rd E, Geebung"
714171901,Primary,Active,"Sandgate Rd, Virginia"
714172101,Primary,Active,"Handford Rd, Zillmere"
714172102,Primary,Active,"Dunsford St, Zillmere"
714172201,Primary,Active,"Church Rd, Zillmere"
714172202,Primary,Active,"Zillmere Rd, Zillmere"
714172301,Stake Holder,Active,"Groth Rd, Boondall"
714172302,Primary,Active,"Beams Rd, Boondall"
714172303,Primary,Active,"Muller Rd, Boondall"
714172401,Primary,Active,"Sandgate Rd, Boondall"
714180201,Primary,Active,"Gateway Mwy, Banyo"
714180601,Primary,Active,"Tufnell Rd, Banyo"
714180602,Primary,Active,"Approach Rd, Banyo"
714180603,Primary,Active,"Nudgee Rd, Banyo"
714181201,Primary,Active,"Gateway Mwy, Nudgee"
714182101,Primary,Active,"Gateway Mwy, Boondall"
716430001,Primary,Active,"Warrego Hwy, Oakey"
716470701,Primary,Active,"New England Hwy, Highfields"
716470702,Primary,Active,"New England Hwy, Highfields"
716470703,Primary,Active,"Cawdor Rd, Highfields"
716470801,Primary,Active,"New England Hwy, Highfields"
716471701,School,Active,"Highfields Rd, Highfields"
716471702,Primary,Active,"Kratzke Rd, Highfields"
716480001,Primary,Active,"New England Hwy, Cabarlah"
716610001,Primary,Active,"Brisbane Valley Hwy, Wivenhoe Pocket"
716610201,Primary,Active,"Brisbane Valley Hwy, Fernvale"
716610701,School,Active,"Brisbane Valley Hwy, Fernvale"
716650001,Primary,Active,"Mount Nebo Rd, Jollys Lookout"
716660001,Primary,Active,"Mount Nebo Rd, Enoggera Reservoir"
716670201,School,Active,"Settlement Rd, The Gap"
716670601,Primary,Active,"Settlement Rd, The Gap"
716670602,Primary,Active,"Kaloma Rd, The Gap"
716671201,Primary,Active,"Settlement Rd, Keperra"
716671601,Primary,Active,"Upper Kedron Rd, Ferny Grove/Upper Kedron"
716671701,Primary,Active,"Samford Rd, Keperra"
716671801,Primary,Active,"Samford Rd, Keperra"
716671901,Primary,Active,"Samford Rd, Mitchelton"
716672001,Primary,Active,"Samford Rd, Mitchelton"
716672401,Primary,Active,"Blaker Rd, Mitchelton"
716672402,School,Active,"Dawson Pde, Keperra"
716672501,Primary,Active,"Blackwood St, Mitchelton"
716680101,Primary,Active,"Wardell St, Ashgrove"
716680102,Primary,Active,"Frasers Rd, Ashgrove"
716680201,Primary,Active,"Ashgrove Ave, Ashgrove"
716680501,Primary,Active,"Lutwyche Rd, Windsor"
716680502,Primary,Active,"Newmarket Rd, Windsor"
716680601,Primary,Active,"Wardell St, Enoggera"
716680602,Primary,Active,"Wardell St, Ashgrove"
716680701,Primary,Active,"Enoggera Rd, Alderley"
716680703,Primary,Active,"Banks St, Alderley"
716680801,Primary,Active,"Enoggera Rd, Newmarket"
716680901,Stake Holder,Active,"Lamont Rd, Wilston"
716680902,Primary,Active,"Kedron Brook Rd, Wilston"
716680903,Primary,Active,"Days Rd, Grange"
716681001,Primary,Active,"Lutwyche Rd, Windsor"
716681002,Primary,Active,"Maygar St, Windsor"
716681101,Primary,Active,"Pickering St, Enoggera"
716681102,Primary,Active,"Samford Rd, Enoggera"
716681401,Stake Holder,Active,"Grange Rd, Grange"
716681501,Primary,Active,"Bradshaw St, Lutwyche"
716681601,Primary,Active,"South Pine Rd, Everton Park"
716681701,Primary,Active,"Shand St, Stafford"
716681801,Primary,Active,"Stafford Rd, Stafford"
716682001,Primary,Active,"Gympie Rd, Kedron"
716682002,Primary,Active,"Somerset Rd, Kedron"
716682101,Primary,Active,"Pullen Rd, Everton Park"
716682201,Stake Holder,Active,"Redwood St, Stafford Heights"
716682202,Primary,Active,"Stafford Rd, Everton Park"
716682301,Stake Holder,Active,"Redwood St, Stafford Heights"
716682302,School,Active,"Redwood St, Stafford Heights"
716682501,Primary,Active,"Strathmore St, Kedron"
716682503,Primary,Active,"Kitchener Rd, Kedron"
716690101,Primary,Active,"Abbotsford Rd, Bowen Hills"
716690401,Stake Holder,Active,"Seymour Rd, Ascot"
716690402,Primary,Active,"Racecourse Rd, Ascot"
716690403,Primary,Active,"Racecourse Rd, Hamilton"
716690404,Primary,Active,"Kingsford Smith Dr, Hamilton"
716690501,Primary,Active,"Curtin Ave W, Eagle Farm/Hamilton"
716690502,Primary,Active,"Kingsford Smith Dr, Eagle Farm"
716690503,Primary,Active,"Kingsford Smith Dr, Eagle Farm"
716690601,Primary,Active,"Sandgate Rd, Albion"
716690603,Primary,Active,"Albion Rd, Windsor"
716690701,Primary,Active,"Sandgate Rd, Clayfield"
716690801,Stake Holder,Active,"Alexandra Rd, Ascot"
716690802,Primary,Active,"Lancaster Rd, Ascot"
716690901,Primary,Active,"Nudgee Rd, Hendra/Ascot"
716691001,Primary,Active,"Southern Cross Way, Hendra"
716691002,Stake Holder,Active,"Lamington Ave, Ascot"
716691101,Primary,Active,"Kedron Park Rd, Wooloowin"
716691201,Primary,Active,"Bayview Tce, Clayfield"
716691202,Stake Holder,Active,"Bonney Ave, Clayfield"
716691203,School,Active,"Bayview Tce, Clayfield"
716691204,Primary,Active,"Dickson St, Wooloowin"
716691301,Stake Holder,Active,"Wagner Rd, Clayfield"
716691401,Primary,Active,"Gerler Rd, Hendra"
716691402,Primary,Active,"Nudgee Rd, Hendra"
716691501,Primary,Active,"Southern Cross Way, Hendra"
716691502,Primary,Active,"Southern Cross Way, Hendra"
716691503,Primary,Active,"Nudgee Rd, Hendra"
716691701,Stake Holder,Active,"Kent Rd, Kalinga"
716691702,Primary,Active,"Shaw Rd, Kalinga"
716691801,School,Active,"Widdop St, Clayfield/Hendra"
716691802,Primary,Active,"Widdop St, Clayfield/Hendra"
716692201,Stake Holder,Active,"Imbros St, Nundah"
716692202,Primary,Active,"Shaw Rd, Wavell Heights"
716692203,Primary,Active,"Shaw Rd, Wavell Heights"
716692204,Primary,Active,"Edinburgh Castle Rd, Wavell Heights"
716692301,Primary,Active,"Buckland Rd, Nundah"
716692302,Primary,Active,"Sandgate Rd, Nundah"
716692401,Stake Holder,Active,"York St, Nundah"
716692502,Primary,Active,"Southern Cross Way, Northgate"
716692503,Primary,Active,"Nudgee Rd, Nundah"
716700101,Primary,Active,"Southern Cross Way, Eagle Farm"
716700102,Primary,Active,"Southern Cross Way, Eagle Farm"
716700201,Primary,Active,"Curtin Ave E, Eagle Farm"
716700701,Stake Holder,Active,"Sugarmill Rd, Pinkenba"
716700702,Primary,Active,"Kingsford Smith Dr, Eagle Farm"
716700801,Primary,Active,"Kingsford Smith Dr, Pinkenba"
716700901,Stake Holder,Active,"Eagle Farm Rd, Pinkenba"
716700902,Primary,Active,"Eagle Farm Rd, Pinkenba"
716701101,Stake Holder,Active,"Lomandra Dr, Brisbane Airport"
716701102,Primary,Active,"Gateway Mwy, Eagle Farm"
716701103,Primary,Active,"Gateway Mwy, Eagle Farm"
716701201,Stake Holder,Active,"Lomandra Dr, Brisbane Airport"
716701701,Primary,Active,"Airport Dr, Brisbane Airport"
716702201,Stake Holder,Active,"Moreton Dr, Brisbane Airport"
716702202,Stake Holder,Active,"Moreton Dr, Brisbane Airport"
716702301,Stake Holder,Active,"Nancy Bird Way, Brisbane Airport"
716702501,Stake Holder,Active,"Pandanus Ave, Brisbane Airport"
716710101,Public Complaint,Active,"Port of Brisbane Mwy, Lytton"
716710201,Primary,Active,"Sandy Camp Rd, Wynnum West/Lytton"
716710401,Primary,Active,"Tingal Rd, Wynnum"
716710701,Public Complaint,Active,"Port of Brisbane Mwy, Lytton"
716710801,Primary,Active,"Pritchard St, Lytton"
716711401,Primary,Active,"Port Dr, Lytton"
716711402,Primary,Active,"Port Dr, Port of Brisbane"
716712401,Primary,Active,"Port Dr, Port of Brisbane"
716712402,Primary,Active,"Port Dr, Port of Brisbane"
718900001,Primary,Active,"Warrego Hwy, Kingsthorpe"
718910003,Primary,Active,"Warrego Hwy, Charlton"
718910004,Primary,Active,"Warrego Hwy, Charlton"
718920501,Primary,Active,"Greenwattle St, Wilsonton Heights/Cranley"
718922201,School,Active,"Old Homebush Rd, Gowrie Junction"
718930301,Primary,Active,"Ruthven St (New England Hwy), Harlaxton"
718930302,Primary,Active,"New England Hwy, Harlaxton"
718931801,Primary,Active,"New England Hwy, Blue Mountain Heights "
718931901,Public Complaint,Active,"Murphys Creek Rd, Blue Mountain Heights"
718931902,Public Complaint,Active,"Murphys Creek Rd, Blue Mountain Heights"
718932301,School,Active,"New England Hwy, Highfields"
718932303,Primary,Active,"New England Hwy, Blue Mountain Heights"
718932401,Public Complaint,Active,"Murphys Creek Rd, Ballard"
719060001,Primary,Active,"Glamorgan Vale Rd, Lowood"
719070001,Primary,Active,"Brisbane Valley Hwy, Fernvale"
719130401,Primary,Active,"Stanley Tce, Taringa"
719130402,Primary,Active,"Taringa Pde, Taringa"
719130501,School,Active,"Miskin St, Toowong"
719130502,Primary,Active,"Miskin St, Toowong"
719130802,Primary,Active,"Sir Samuel Griffith Dr, Mount Coot-tha"
719131001,Primary,Active,"Western Fwy, Mount Coot-tha"
719131002,Primary,Active,"Richer St, Toowong"
719131003,Primary,Active,"Mt Coot-tha Rd, Toowong/Mt Coot-tha"
719131101,Primary,Active,"Sir Samuel Griffith Dr, Mount Coot-tha"
719131401,Primary,Active,"Sir Samuel Griffith Dr, Toowong"
719131901,Primary,Active,"Simpsons Rd, Bardon"
719132101,Primary,Active,"Payne Rd, The Gap "
719132201,Primary,Active,"Payne Rd, The Gap"
719132202,School,Active,"Payne Rd, The Gap"
719132401,Primary,Active,"Waterworks Rd, Ashgrove"
719132501,Primary,Active,"Glory St, Ashgrove"
719132502,Primary,Active,"Fletcher Pde, Bardon"
719132503,Primary,Active,"Glenlyon Dr, Ashgrove"
719140101,Primary,Active,"Coronation Dr, Toowong"
719140102,Primary,Active,"Moggill Rd, Toowong"
719140103,Primary,Active,"Sherwood Rd, Toowong"
719140601,School,Active,"Sylvan Rd, Toowong"
719140602,Primary,Active,"Milton Rd, Auchenflower"
719140905,Primary,Active,"Charlotte St, Brisbane City"
719141004,Primary,Active,"Edward St, Brisbane City"
719141005,Primary,Active,"Alice St, Brisbane City"
719141006,Primary,Active,"Margaret St, Brisbane City"
719141101,Primary,Active,"Birdwood Tce, Auchenflower"
719141201,Primary,Active,"Milton Rd, Milton"
719141202,Stake Holder,Active,"Heussler Tce, Milton"
719141203,School,Active,"Haig Rd, Milton"
719141204,Primary,Active,"Haig Rd, Milton"
719141205,School,Active,"Baroona Rd, Milton/Paddington"
719141301,Primary,Active,"Coronation Dr, Milton"
719141302,Primary,Active,"Hale St, Petrie Terrace/Paddington"
719141303,Stake Holder,Active,"Heussler Tce, Milton"
719141304,Primary,Active,"Petrie Tce, Petrie Terrace"
719141501,Primary,Active,"Queen St, Brisbane City"
719141502,Primary,Active,"Adelaide St, Brisbane City"
719141503,Primary,Active,"Turbot St, Spring Hill"
719141505,School,Active,"Boundary St, Spring Hill"
719141506,Primary,Active,"Ann St, Fortitude Valley"
719141507,Primary,Active,"Wharf St, Spring Hill"
719141508,Primary,Active,"Boundary St, Spring Hill"
719141801,Primary,Active,"Hale St, Petrie Terrace/Paddington"
719141802,Primary,Active,"Kelvin Grove Rd, Kelvin Grove"
719141803,Primary,Active,"Kelvin Grove Rd, Kelvin Grove"
719141804,School,Active,"Dowse St, Paddington"
719141901,Primary,Active,"Gregory Tce, Spring Hill"
719141902,Primary,Active,"College Rd, Spring Hill/Brisbane City"
719141903,Primary,Active,"Boundary St, Spring Hill"
719141904,School,Active,"Gregory Tce, Spring Hill"
719141905,Primary,Active,"Inner City Bypass, Herston"
719142001,Primary,Active,"St Pauls Tce, Fortitude Valley"
719142002,Primary,Active,"St Pauls Tce, Spring Hill"
719142003,School,Active,"Water St, Spring Hill"
719142004,School,Active,"Ann St, Fortitude Valley"
719142005,School,Active,"St Pauls Tce, Spring Hill"
719142201,Primary,Active,"Waterworks Rd, Red Hill"
719142301,Primary,Active,"Herston Rd, Kelvin Grove"
719142304,Primary,Active,"Windsor Rd, Red Hill"
719142305,Primary,Active,"Kelvin Grove Rd, Kelvin Grove"
719142306,School,Active,"L'Estrange Tce, Kelvin Grove"
719142307,School,Active,"Kelvin Grove Rd, Kelvin Grove"
719142401,Primary,Active,"Herston Rd, Herston"
719142503,Primary,Active,"Inner City Bypass, Herston"
719142504,Primary,Active,"Bowen Bridge Rd, Herston/Bowen Hills"
719150101,Primary,Active,"Vulture St E, East Brisbane"
719150301,Primary,Active,"Bennetts Rd, Norman Park"
719150401,Primary,Active,"Oateson-Skyline Dr, Seven Hills"
719150801,Primary,Active,"Wynnum Rd, Norman Park"
719150802,Primary,Active,"Hawthorne Rd, Hawthorne"
719151001,Primary,Active,"Richmond Rd, Morningside"
719151201,School,Active,"Villiers St, New Farm"
719151401,Primary,Active,"Thynne Rd, Morningside"
719151402,Primary,Active,"Wynnum Rd, Morningside"
719151403,Primary,Active,"Pashen St, Morningside"
719151501,Primary,Active,"Junction Rd, Morningside/Cannon Hill"
719151601,Primary,Active,"Wickham St, Fortitude Valley"
719151602,Primary,Active,"Ann St, Fortitude Valley"
719151603,Primary,Active,"Doggett St, Newstead/Teneriffe"
719151605,Primary,Active,"McLachlan St, Fortitude Valley"
719151701,Primary,Active,"Macquarie St, Teneriffe"
719151702,Primary,Active,"Kent St, Teneriffe"
719151801,Primary,Active,"Riding Rd, Balmoral"
719151901,Primary,Active,"Thynne Rd, Balmoral"
719151902,Primary,Active,"Lytton Rd, Morningside/Balmoral"
719152001,Primary,Active,"Lytton Rd, Morningside"
719152101,Primary,Active,"Abbotsford Rd, Bowen Hills"
719152102,Primary,Active,"Breakfast Creek Rd, Newstead"
719152103,Primary,Active,"Breakfast Creek Rd, Newstead"
719160101,Primary,Active,"Creek Rd, Carina"
719160501,Primary,Active,"Manly Rd, Tingalpa"
719160502,Primary,Active,"Belmont Rd, Tingalpa"
719160601,Primary,Active,"Richmond Rd, Cannon Hill/Carina"
719160801,Primary,Active,"Murarrie Rd, Tingalpa"
719161001,Primary,Active,"Wynnum Rd, Tingalpa"
719161002,Primary,Active,"Wynnum Rd, Tingalpa"
719161003,School,Active,"Wynnum Rd, Tingalpa"
719161201,Primary,Active,"Murarrie Rd, Murarrie"
719161301,Primary,Active,"Gateway Mwy, Murarrie"
719161302,Primary,Active,"Murarrie Rd, Murarrie"
719161501,Primary,Active,"Hemmant-Tingalpa Rd (Hemmant and Tingalpa Rd), Hemmant"
719161701,Primary,Active,"Lytton Rd, Murarrie"
719161801,Public Complaint,Active,"Port of Brisbane Mwy, Murarrie"
719161802,Public Complaint,Active,"Port of Brisbane Mwy, Murarrie"
719161901,Public Complaint,Active,"Port of Brisbane Mwy, Hemmant"
719162001,Primary,Active,"Hemmant-Tingalpa Rd (Hemmant and Tingalpa Rd), Hemmant"
719162401,Primary,Active,"Lytton Rd, Hemmant"
719162501,Primary,Active,"Lytton Rd, Hemmant"
719162502,Public Complaint,Active,"Port of Brisbane Mwy, Hemmant"
719170101,Primary,Active,"Manly Rd, Tingalpa"
719170301,Primary,Active,"Manly Rd, Manly West/Wakerley"
719170401,Primary,Active,"Manly Rd, Manly West"
719170402,Primary,Active,"Whites Rd, Manly West/Wakerley"
719170601,Primary,Active,"Wynnum Rd, Tingalpa"
719170701,Primary,Active,"Kianawah Rd S, Manly West"
719170702,Primary,Active,"Wondall Rd, Manly West/Tingalpa"
719170801,Primary,Active,"Radford Rd, Manly West"
719170901,Primary,Active,"Manly Rd, Manly West"
719171001,Primary,Active,"Whites Rd, Lota"
719171101,Primary,Active,"Kianawah Rd, Wynnum West"
719171201,Public Complaint,Active,"Network Dr, Wynnum West"
719171202,Primary,Active,"Plaza St, Wynnum West"
719171203,Primary,Active,"Wynnum Rd, Wynnum West"
719171301,Primary,Active,"Wondall Rd, Wynnum West/Manly West"
719171302,Primary,Active,"Randall Rd, Wynnum West"
719171401,Primary,Active,"Manly Rd, Manly West"
719171402,Primary,Active,"Preston Rd, Manly West"
719171601,Primary,Active,"Kianawah Rd, Wynnum West"
719171801,Primary,Active,"West Ave, Wynnum"
719171802,Primary,Active,"Preston Rd, Wynnum West"
719171803,Public Complaint,Active,"Chandos St, Wynnum West"
719171804,Primary,Active,"Wynnum Rd, Wynnum West"
719171901,Primary,Active,"West Ave, Wynnum"
719172101,Primary,Active,"North Rd, Wynnum West"
719172102,Primary,Active,"Port of Brisbane Mwy, Hemmant"
719172103,Public Complaint,Active,"Port of Brisbane Mwy, Lytton"
719172201,Primary,Active,"Sibley Rd, Wynnum West"
719172202,School,Active,"North Rd, Wynnum West"
719172301,Public Complaint,Active,"Stradbroke Ave, Wynnum"
719172302,Primary,Active,"Wynnum North Rd, Wynnum"
719172401,Primary,Active,"Tingal Rd, Wynnum"
719190101,Primary,Active,"Main Rd, Wellington Point"
721350001,Primary,Active,"Toowoomba-Cecil Plains Rd, Aubigny/Linthorpe"
721370001,Primary,Active,"Toowoomba-Cecil Plains Rd, Biddeston"
721380001,Primary,Active,"Toowoomba-Cecil Plains Rd, Wellcamp"
721400301,School,Active,"McDougall St, Glenvale"
721400501,Primary,Active,"Hampton St, Harristown"
721400801,School,Active,"Glenvale Rd, Glenvale"
721400802,Primary,Active,"Glenvale Rd, Glenvale"
721400901,Primary,Active,"Hursley Rd, Glenvale"
721401001,School,Active,"Rob St, Newtown"
721401002,Primary,Active,"Hursley Rd, Newtown"
721401401,Primary,Active,"Taylor St, Glenvale/Wilsonton"
721401501,Public Complaint,Active,"McGregor St, Wilsonton"
721401502,Primary,Active,"Taylor St, Newtown/Wilsonton"
721401801,Primary,Active,"Carrington Rd, Torrington"
721402001,Primary,Active,"Bridge St, Wilsonton"
721402401,School,Active,"McDougall St, Wilsonton"
721402501,School,Active,"North St, Wilsonton/Wilsonton Heights"
721410101,School,Active,"South St, Harristown"
721410102,School,Active,"Stephen St, Harristown"
721410103,School,Active,"Burton St, Harristown"
721410301,Primary,Active,"James St, East Toowoomba"
721410302,Primary,Active,"James St, East Toowoomba"
721410303,School,Active,"Perth St, South Toowoomba"
721410401,Primary,Active,"James St, East Toowoomba"
721410402,School,Active,"Mackenzie St, Rangeville"
721410403,School,Active,"Herries St, East Toowoomba"
721410501,Primary,Active,"Cohoe St, East Toowoomba"
721410601,Primary,Active,"James St, Harristown/Newtown"
721410602,School,Active,"Herries St, Newtown"
721410603,School,Active,"Vacy St, Newtown"
721410901,Primary,Active,"Margaret St, East Toowoomba"
721410902,School,Active,"Mary St, East Toowoomba"
721410903,Primary,Active,"Kitchener St, East Toowoomba"
721411002,School,Active,"Mackenzie St, East Toowoomba"
721411101,Primary,Active,"Tor St, Newtown/Wilsonton"
721411102,School,Active,"Holberton St, Newtown"
721411201,School,Active,"Taylor St, Toowoomba"
721411202,School,Active,"Bridge St, North Toowoomba/Toowoomba"
721411203,School,Active,"Taylor St, Newtown"
721411401,Primary,Active,"Bridge St, East Toowoomba/Mount Lofty"
721411501,School,Active,"Wirra Wirra St, East Toowoomba"
721411601,Primary,Active,"Holberton St, Newtown"
721411602,Primary,Active,"Bridge St, Newtown"
721411701,School,Active,"Gladstone St, Newtown"
721411801,Primary,Active,"Ruthven St, North Toowoomba"
721411901,School,Active,"Stuart St, Mount Lofty/North Toowoomba"
721412101,School,Active,"Holberton St, Rockville"
721412102,School,Active,"Tor St, Wilsonton"
721412103,School,Active,"North St, Wilsonton"
721412301,Primary,Active,"Ruthven St, Harlaxton"
721420001,Primary,Active,"Toowoomba Connection Rd, Redwood"
721421501,Primary,Active,"Toowoomba Connection Rd, Withcott"
721421502,Primary,Active,"Toowoomba Connection Rd, Withcott"
721430001,Primary,Active,"Toowoomba Connection Rd, Postmans Ridge"
721430002,Primary,Active,"Toowoomba Connection Rd, Helidon Spa"
721440001,Primary,Active,"Warrego Hwy, Helidon Spa"
721450001,Primary,Active,"Warrego Hwy, Grantham"
721450002,Primary,Active,"Warrego Hwy, Grantham"
721450003,Primary,Active,"Warrego Hwy, Helidon"
721450004,Primary,Active,"Warrego Hwy, Helidon"
721460001,Primary,Active,"Warrego Hwy, Grantham"
721460002,Primary,Active,"Warrego Hwy, Grantham"
721460003,Primary,Active,"Warrego Hwy, Grantham"
721470001,Primary,Active,"Warrego Hwy, Gatton"
721470002,Primary,Active,"Warrego Hwy, Gatton"
721470003,Primary,Active,"Warrego Hwy, Gatton"
721470501,Primary,Active,"Railway St (Gatton-Helidon Rd), Gatton"
721470502,Primary,Active,"Spencer St (Eastern Dr), Gatton"
721480001,Primary,Active,"Warrego Hwy, Gatton"
721480101,Primary,Active,"Eastern Dr, Gatton"
721490001,Primary,Active,"Warrego Hwy, Lawes"
721500001,Primary,Active,"Warrego Hwy, Glenore Grove/Forest Hill"
721500002,Primary,Active,"Forest Hill-Fernvale Rd, Glenore Grove"
721520001,Primary,Active,"Warrego Hwy, Prenzlau"
721520002,Primary,Active,"Warrego Hwy, Prenzlau"
721550001,Primary,Active,"Brisbane Valley Hwy, Wanora"
721550002,Primary,Active,"Brisbane Valley Hwy, Pine Mountain/Ironbark"
721581001,Primary,Active,"Mount Crosby Rd, Karana Downs"
721590601,Primary,Active,"Mount Crosby Rd, Mount Crosby"
721600301,Primary,Active,"Moggill Rd, Pinjarra Hills"
721600501,School,Active,"Wongaburra St, Jindalee"
721600502,Primary,Active,"Curragundi Rd, Jindalee"
721600901,Primary,Active,"Moggill Rd, Pinjarra Hills"
721601801,Primary,Active,"Rafting Ground Rd, Brookfield"
721602001,Primary,Active,"Brookfield Rd, Kenmore Hills"
721602301,Primary,Active,"Upper Brookfield Rd, Brookfield"
721602501,Primary,Active,"Brookfield Rd, Kenmore Hills"
721610101,Primary,Active,"Yallambee Rd, Jindalee"
721610301,School,Active,"Fig Tree Pocket Rd, Fig Tree Pocket"
721610502,Primary,Active,"Oxley Rd, Sherwood"
721610503,Primary,Active,"Oxley Rd, Sherwood"
721610601,Primary,Active,"Kenmore Rd, Kenmore"
721611001,School,Active,"Oxley Rd, Graceville"
721611002,Primary,Active,"Oxley Rd, Graceville"
721611003,Primary,Active,"Graceville Ave, Graceville"
721611101,Primary,Active,"Marshall La, Kenmore"
721611201,Primary,Active,"Centenary Hwy, Kenmore"
721611202,Primary,Active,"Fig Tree Pocket Rd, Chapel Hill"
721611301,Primary,Active,"Jerrang St, Indooroopilly"
721611401,Primary,Active,"Honour Ave, Chelmer"
721611402,School,Active,"Oxley Rd, Chelmer"
721611601,Primary,Active,"Moggill Rd, Kenmore"
721611602,School,Active,"Moggill Rd, Kenmore"
721611701,Primary,Active,"Burbong St, Chapel Hill"
721611801,Primary,Active,"Witton Rd, Indooroopilly"
721611802,Primary,Active,"Russell Tce, Indooroopilly"
721612001,School,Active,"Lambert Rd, Indooroopilly"
721612201,Primary,Active,"Fleming Rd, Chapel Hill"
721612301,Primary,Active,"Western Fwy, Indooroopilly"
721612501,Primary,Active,"Moggill Rd, Taringa"
721612502,Primary,Active,"Whitmore St, Taringa "
721620301,Primary,Active,"Ipswich Rd, Moorooka"
721620401,Primary,Active,"Ipswich Rd, Moorooka"
721620402,Primary,Active,"Beaudesert Rd, Moorooka"
721620601,Primary,Active,"Graceville Ave, Graceville"
721620701,Primary,Active,"King Arthur Tce, Tennyson"
721620801,Primary,Active,"Fairfield Rd, Yeronga"
721620901,Primary,Active,"Ipswich Rd, Annerley"
721621401,Primary,Active,"Home St, Fairfield"
721621601,Primary,Active,"Lambert Rd, Indooroopilly"
721621602,Primary,Active,"Indooroopilly Rd, Indooroopilly"
721621701,Primary,Active,"Hawken Dr, St Lucia"
721621702,Primary,Active,"Carmody Rd, St Lucia"
721622001,Primary,Active,"Ipswich Rd, Annerley"
721622002,Primary,Active,"Juliette St, Annerley"
721622003,Primary,Active,"Annerley Rd, Annerley"
721622101,Primary,Active,"Sir Fred Schonell Dr, St Lucia"
721622102,Primary,Active,"Indooroopilly Rd, Taringa"
721622401,Primary,Active,"Gladstone Rd, Highgate Hill"
721630201,Primary,Active,"Bapaume Rd, Tarragindi"
721630202,Primary,Active,"Weller Rd, Tarragindi"
721630301,Primary,Active,"Logan Rd, Holland Park West"
721630401,Primary,Active,"Nursery Rd, Holland Park"
721630501,Primary,Active,"Nursery Rd, Holland Park"
721630601,Primary,Active,"Cracknell Rd, Tarragindi"
721630701,Primary,Active,"Birdwood Rd, Holland Park West"
721630801,Primary,Active,"Holland Rd, Holland Park"
721630802,Primary,Active,"Holland Rd, Holland Park"
721630803,Primary,Active,"Logan Rd, Holland Park West"
721631001,Primary,Active,"Cavendish Rd, Holland Park"
721631201,Primary,Active,"Logan Rd, Greenslopes"
721631301,Primary,Active,"Cavendish Rd, Coorparoo"
