Site Number ,Site Type,Site Status,Primary Descriptor
682471001,School,Active,"Edmund St, Shelly Beach/Moffat Beach"
682471101,Primary,Active,"Sugarbag Rd, Little Mountain"
682471401,Primary,Active,"Beerburrum St, Dicky Beach"
682471701,Stake Holder,Active,"Beerburrum St, Aroona"
682471801,Primary,Active,"Nicklin Way, Currimundi/Battery Hill"
682471901,Primary,Active,"Buderim St, Battery Hill/Currimundi"
682472101,Primary,Active,"Kawana Way Link Rd, Meridan Plains"
682472201,Primary,Active,"Creekside Bvd, Currimundi"
682472202,Primary,Active,"Saffron Dr, Currimundi"
682472301,Primary,Active,"Nicklin Way, Currimundi"
684700001,Primary,Active,"Bowman Rd, Blackbutt"
684700002,Primary,Active,"D'Aguilar Hwy, Blackbutt"
684700003,Primary,Active,"D'Aguilar Hwy, Bernarkin"
684840001,Primary,Active,"Kilcoy-Beerwah Rd, Cedarton"
684850001,Primary,Active,"Peachester Rd, Peachester"
684851401,Stake Holder,Active,"Peachester Rd, Peachester"
684860001,Primary,Active,"Old Gympie Rd, Beerwah"
684860002,Primary,Active,"Old Gympie Rd, Mount Mellum/Beerwah"
684860501,Stake Holder,Active,"Peachester Rd, Beerwah"
684870001,Primary,Active,"Steve Irwin Way, Beerwah"
684870101,Primary,Active,"Steve Irwin Way, Beerwah"
684872201,Stake Holder,Active,"Steve Irwin Way, Landsborough"
684880001,Primary,Active,"Bruce Hwy, Coochin Creek "
684880002,Primary,Active,"Bruce Hwy, Landsborough "
684900001,Primary,Active,"Esplanade, Golden Beach"
686900001,Primary,Active,"Warrego Hwy, Warra"
686950001,School,Active,"Dalby-Jandowae Rd, Jimbour East"
687070001,Primary,Active,"New England Hwy, Upper Yarraman"
687160001,Primary,Active,"D'Aguilar Hwy, Moore"
687260001,Primary,Active,"Kilcoy-Beerwah Rd, Cedarton"
687290001,Primary,Active,"Old Gympie Rd, Glass House Mountains"
687300001,Primary,Active,"Steve Irwin Way, Beerwah"
687300002,Primary,Active,"Steve Irwin Way, Glass House Mountains"
689490001,Primary,Active,"New England Hwy, Cooyar"
689620001,Primary,Active,"D'Aguilar Hwy, Woolmar"
689630001,Primary,Active,"D'Aguilar Hwy, Woolmar"
689631501,Primary,Active,"D'Aguilar Hwy, Woolmar"
689640001,Primary,Active,"D'Aguilar Hwy, Winya"
689650001,Primary,Active,"Neurum Rd, Villeneuve"
689650002,Primary,Active,"D'Aguilar Hwy, Sandy Creek/Glenfern"
689660001,Primary,Active,"D'Aguilar Hwy, Stony Creek"
689670001,Primary,Active,"D'Aguilar Hwy, Stony Creek"
689670002,Primary,Active,"D'Aguilar Hwy, Woodford"
689670003,Primary,Active,"Neurum Rd, Woodford"
689681101,Primary,Active,"D'Aguilar Hwy, Woodford"
689720001,Primary,Active,"Bruce Hwy, Coochin Creek/Glass House Mountains"
689720002,Primary,Active,"Steve Irwin Way, Glass House Mountains"
691770001,School,Active,"High St, Kogan"
691830001,Primary,Active,"Warrego Hwy, Macalister"
692090001,Primary,Active,"Brisbane Valley Hwy, Harlin"
692150001,Primary,Active,"Neurum Rd, Neurum"
692150002,Primary,Active,"Neurum Rd, Mount Archer"
692170401,Stake Holder,Active,"Mt Mee Rd, Delaneys Creek"
692171401,Primary,Active,"D'Aguilar Hwy, D'Aguilar"
692171801,Primary,Active,"D'Aguilar Hwy, Woodford"
692210001,Primary,Active,"Bruce Hwy, Beerburrum"
